NAME,SEX,REGION,BIRTHDAY
C1,M,충청북도,2005-03-12
C2,F,광주광역시,2002-10-09
C3,M,대구광역시,2000-12-02
C4,M,제주특별자치도,2001-03-06
C5,F,대전광역시,2001-12-19
C6,M,부산광역시,2004-10-21
C7,F,인천광역시,2003-04-11
C8,F,부산광역시,2004-02-08
C9,F,서울특별시,2006-05-22
C10,F,울산광역시,2004-03-21
C11,F,충청북도,2005-05-10
C12,M,광주광역시,2001-11-11
C13,M,대구광역시,2007-05-26
C14,F,제주특별자치도,2001-04-28
C15,F,부산광역시,2002-12-05
C16,M,인천광역시,2001-10-22
C17,M,부산광역시,2003-07-17
C18,F,서울특별시,2000-07-25
C19,M,경상남도,2001-08-13
C20,F,울산광역시,2003-11-04
C21,M,충청북도,2003-11-28
C22,M,광주광역시,2007-04-18
C23,M,대구광역시,2006-11-05
C24,M,제주특별자치도,2001-09-07
C25,M,서울특별시,2004-05-21
C26,M,인천광역시,2001-10-15
C27,F,부산광역시,2005-06-15
C28,M,서울특별시,2007-04-12
C29,M,경상남도,2007-04-09
C30,F,경기도,2001-05-17
C31,F,울산광역시,2002-05-27
C32,F,충청북도,2003-03-14
C33,F,광주광역시,2002-03-23
C34,M,대구광역시,2005-03-24
C35,M,제주특별자치도,2001-07-15
C36,M,서울특별시,2006-11-06
C37,M,대전광역시,2004-11-24
C38,M,부산광역시,2005-02-13
C39,M,인천광역시,2002-10-06
C40,F,서울특별시,2006-11-03
C41,F,대전광역시,2004-10-01
C42,F,부산광역시,2005-08-06
C43,F,인천광역시,2002-09-05
C44,F,부산광역시,2002-10-03
C45,M,서울특별시,2001-07-27
C46,F,경상남도,2005-10-16
C47,F,경기도,2004-08-22
C48,M,울산광역시,2003-11-10
C49,F,충청북도,2005-08-16
C50,F,광주광역시,2004-08-10
C51,M,대구광역시,2004-11-04
C52,F,제주특별자치도,2000-06-15
C53,F,서울특별시,2003-11-18
C54,F,부산광역시,2007-05-12
C55,F,인천광역시,2001-03-03
C56,M,부산광역시,2006-12-12
C57,F,서울특별시,2005-07-13
C58,M,경상남도,2007-04-14
C59,M,경기도,2005-02-24
C60,M,광주광역시,2001-11-04
C61,F,대구광역시,2006-04-22
C62,F,제주특별자치도,2003-07-18
C63,M,서울특별시,2007-01-04
C64,M,대전광역시,2006-08-01
C65,M,부산광역시,2001-01-02
C66,M,서울특별시,2003-01-08
C67,F,경상남도,2003-07-28
C68,M,경기도,2000-08-03
C69,F,울산광역시,2007-04-07
C70,M,광주광역시,2003-05-22
C71,F,대구광역시,2001-02-14
C72,F,제주특별자치도,2003-01-14
C73,F,서울특별시,2000-07-07
C74,M,대전광역시,2005-11-25
C75,M,인천광역시,2004-03-01
C76,F,서울특별시,2003-10-17
C77,M,경상남도,2002-06-21
C78,M,경기도,2005-08-10
C79,F,울산광역시,2005-10-16
C80,M,충청북도,2003-10-01
C81,M,광주광역시,2002-08-01
C82,F,대구광역시,2004-10-06
C83,M,제주특별자치도,2004-11-08
C84,M,서울특별시,2007-05-04
C85,F,대전광역시,2006-04-11
C86,M,광주광역시,2004-02-01
C87,F,대구광역시,2000-08-24
C88,M,대전광역시,2007-04-16
C89,M,부산광역시,2005-07-08
C90,M,서울특별시,2000-10-13
C91,F,대전광역시,2005-03-10
C92,M,경상남도,2003-11-10
C93,M,경기도,2002-04-01
C94,F,경상남도,2004-03-27
C95,F,경상북도,2001-08-21
C96,F,충청남도,2001-06-25
C97,M,충청북도,2000-05-26
C98,M,광주광역시,2004-03-27
C99,M,대구광역시,2007-02-28
C100,M,제주특별자치도,2005-04-17
C101,F,대전광역시,2002-03-05
C102,F,부산광역시,2003-01-08
C103,F,인천광역시,2007-04-23
C104,M,부산광역시,2001-01-28
C105,M,서울특별시,2001-04-09
C106,M,울산광역시,2001-06-01
C107,M,충청북도,2000-04-16
C108,F,광주광역시,2004-05-15
C109,M,대구광역시,2006-10-22
C110,M,제주특별자치도,2003-11-04
C111,M,부산광역시,2007-04-23
C112,F,인천광역시,2006-03-13
C113,F,부산광역시,2000-08-14
C114,F,서울특별시,2000-07-16
C115,M,경상남도,2005-03-14
C116,F,울산광역시,1991-11-08
C117,F,충청북도,1995-08-08
C118,F,광주광역시,1998-03-07
C119,M,대구광역시,1995-04-14
C120,F,제주특별자치도,1991-08-16
C121,M,서울특별시,1990-09-06
C122,M,인천광역시,1996-08-16
C123,M,부산광역시,1990-11-25
C124,M,서울특별시,1993-01-24
C125,M,경상남도,1999-02-22
C126,M,경기도,1997-05-23
C127,M,울산광역시,1997-07-04
C128,M,충청북도,1990-09-27
C129,M,광주광역시,1995-12-24
C130,F,대구광역시,1991-05-20
C131,M,제주특별자치도,1990-08-21
C132,M,서울특별시,1997-06-27
C133,F,대전광역시,1995-12-08
C134,F,부산광역시,1997-01-22
C135,F,인천광역시,1991-11-10
C136,F,부산광역시,1994-08-01
C137,F,서울특별시,1991-02-06
C138,M,경상남도,1993-02-23
C139,F,경기도,1994-10-03
C140,M,울산광역시,1991-05-16
C141,F,충청북도,1991-07-04
C142,F,광주광역시,1992-04-12
C143,M,대구광역시,1991-08-11
C144,M,제주특별자치도,1992-06-16
C145,M,서울특별시,1993-03-10
C146,F,부산광역시,1998-07-28
C147,F,인천광역시,1991-08-23
C148,M,부산광역시,1996-09-28
C149,M,서울특별시,1990-04-17
C150,F,경상남도,1995-05-08
C151,M,경기도,1995-06-18
C152,M,광주광역시,1998-11-03
C153,M,대구광역시,1997-08-15
C154,M,제주특별자치도,1999-11-17
C155,F,경기도,1995-08-22
C156,F,광주광역시,1998-11-08
C157,F,대구광역시,1997-01-11
C158,F,제주특별자치도,1999-07-07
C159,F,서울특별시,1990-02-11
C160,M,대전광역시,1994-08-20
C161,M,부산광역시,1997-03-24
C162,F,서울특별시,1999-02-06
C163,M,경상남도,1995-08-08
C164,M,경기도,1992-07-10
C165,F,울산광역시,1996-02-25
C166,M,광주광역시,1992-03-16
C167,M,대구광역시,1992-03-20
C168,F,제주특별자치도,1997-07-09
C169,M,서울특별시,1992-04-01
C170,M,대전광역시,1990-10-11
C171,M,인천광역시,1992-05-28
C172,F,서울특별시,1995-04-10
C173,M,경상남도,1999-02-05
C174,M,경기도,1997-01-16
C175,M,울산광역시,1990-09-16
C176,F,충청북도,1994-07-15
C177,F,광주광역시,1994-03-17
C178,F,대구광역시,1996-11-23
C179,M,제주특별자치도,1993-05-19
C180,F,서울특별시,1993-06-18
C181,F,대전광역시,1991-12-25
