인기가 있는 친구는?,같이 놀고 싶은 친구는?,같이 놀기 싫은 친구는?,친구들 사이에서 힘이나 지위를 이용해 자기 뜻대로 하려고 괴롭히거나 협박하는 친구는?,친구들의 행동이나 말을 오해하고 자신을 위협한다고 생각해 시비를 거는 친구는?,평소에 친절한 친구는?,다른 친구를 잘 도와주고 어울리는 친구는?,친구를 괴롭히는 행동을 시작하는 친구는?,친구를 괴롭힐 때 다른 친구한테도 같이 괴롭히자고 하는 친구는?,다른 아이들에게 자주 놀림을 받는 친구는?,다른 아이들에게 맞거나 욕설을 듣는 친구는?,나랑 친한 친구는?,평소에 나랑 같이 공부하는 친구는?,수업 시간에 함께 잘 도와주고 어울리는 친구는?,"함께 어울리거나, 친구가 되고 싶은 사람은?"
이수진,"최유진, 오준호",최유진,"한지민, 임하늘","김민주, 박지호","정서윤, 최유진, 임하늘",오준호,"김예린, 한지민, 남기석","남기석, 장민석","홍지민, 임하늘","임하늘, 김민주","임하늘, 강태호, 오준호, 서지우, 장민석","홍지민, 배수아","남기석, 정서윤, 이서연","장민석, 임하늘"
"임하늘, 정서윤","강태호, 최유진","강태호, 이수진, 장민석",남기석,박지호,정서윤,"이수진, 권성욱","남기석, 강태호",김예린,김민주,"임하늘, 홍지민","정서윤, 최유진","권성욱, 배수아, 김민준","홍지민, 오준호","한지민, 임하늘"
장민석,이수진,"권성욱, 강태호","김민준, 서지우","서지우, 정서윤","권성욱, 이수진","권성욱, 이수진, 임하늘, 정서윤, 남기석","한지민, 이수진","남기석, 강태호, 서지우","임하늘, 권성욱","권성욱, 김민주","정서윤, 이수진","최유진, 홍지민, 이수진","배수아, 강태호","한지민, 이수진"
"장민석, 강태호, 서지우","정서윤, 임하늘, 강태호","권성욱, 정서윤, 이수진","박지호, 한지민","서지우, 한지민, 김예린",권성욱,"권성욱, 이수진","한지민, 강태호","강태호, 남기석","한지민, 오준호","홍지민, 권성욱, 임하늘","장민석, 강태호","배수아, 이서연","홍지민, 윤도현, 장민석, 김민주",임하늘
"한지민, 서지우, 김민준",오준호,임하늘,이수진,한지민,임하늘,임하늘,"배수아, 한지민","장민석, 서지우, 박지호, 강태호","임하늘, 김민주, 홍지민","김민주, 윤도현","장민석, 한지민","박지호, 최유진",최유진,"이수진, 장민석, 서지우, 권성욱"
"정서윤, 강태호, 임하늘, 오준호, 장민석",이수진,강태호,"남기석, 임하늘, 김예린",김민주,"정서윤, 이수진, 임하늘, 최유진","정서윤, 임하늘, 최유진, 이수진","강태호, 박지호, 장민석","강태호, 남기석, 정현우",홍지민,"장민석, 권성욱, 강태호","김민준, 오준호","홍지민, 최유진, 임하늘","임하늘, 장민석, 홍지민, 오준호","정서윤, 임하늘"
"정서윤, 서지우, 강태호, 김민준, 장민석","이수진, 권성욱","이수진, 최유진",서지우,박지호,임하늘,권성욱,"한지민, 박지호, 강태호, 남기석","김민준, 강태호, 남기석, 김예린, 서지우","권성욱, 김예린, 임하늘, 김민주","권성욱, 홍지민","임하늘, 권성욱","배수아, 남기석, 김민주","이서연, 정서윤","임하늘, 김민준"
이수진,"정서윤, 임하늘","강태호, 정서윤, 장민석",한지민,"김민주, 한지민, 서지우","이수진, 정서윤",홍지민,"서지우, 장민석","박지호, 서지우","정현우, 권성욱",장민석,임하늘,"정현우, 이서연, 오준호","최유진, 이수진, 홍지민",임하늘
"서지우, 박지호, 한지민","김민준, 강태호","권성욱, 강태호, 이수진, 정서윤",김예린,"김민주, 박지호","임하늘, 최유진",권성욱,"박지호, 강태호, 한지민",서지우,"홍지민, 김민주","임하늘, 홍지민","서지우, 정서윤",배수아,"홍지민, 최유진, 이수진","정서윤, 이수진"
